sensor1,sensor2,speedSet,load_value,gear_fault_desc,gear_fault,year,month,day,hour,minute,second
2.522150849311644,2.430496051446584,8.33203125,80,eccentricity,3,2023,5,3,20,34,20
2.5228078739720075,2.435916488690641,8.33203125,80,eccentricity,3,2023,5,3,20,34,20
2.5203440315711623,2.431645841083921,8.33203125,0,Root crack,1,2023,5,3,14,41,35
2.5147593228912064,2.433452653459372,25.0,0,missing tooth,4,2023,5,3,12,33,31
2.522479361639994,2.4421582055085227,40.0,0,No fault,0,2023,5,3,22,10,1
2.5170589086902595,2.428196472302813,25.0,0,chipped tooth,2,2023,5,2,15,54,36
2.519522750816638,2.427539449722352,8.33203125,80,surface defect,5,2023,5,2,14,31,46
2.5205082877248124,2.4314815854187715,8.33203125,0,eccentricity,3,2023,5,3,20,31,41
2.520179775418428,2.432302863753427,25.0,80,surface defect,5,2023,5,2,14,30,29
2.5167303964222856,2.428524983598383,8.33203125,0,chipped tooth,2,2023,5,2,15,53,9
2.521658080825983,2.429674773160919,8.33203125,80,chipped tooth,2,2023,5,2,16,4,30
2.5175516770990765,2.428196472302813,8.33203125,0,chipped tooth,2,2023,5,2,15,53,10
2.5219865931488417,2.431317329754514,8.33203125,80,chipped tooth,2,2023,5,2,16,4,31
2.520179775418428,2.426882427156128,25.0,80,eccentricity,3,2023,5,3,20,22,6
2.5208368000348567,2.431810096749961,8.33203125,0,eccentricity,3,2023,5,3,20,31,39
2.506710774003678,2.432795630764913,40.0,0,surface defect,5,2023,5,7,17,11,48
2.520179775418428,2.430988818428669,8.33203125,0,missing tooth,4,2023,5,3,13,6,41
2.5298708899967868,2.4265539158783533,40.0,80,missing tooth,4,2023,5,3,12,26,52
2.522150849311644,2.4380518127200936,40.0,0,eccentricity,3,2023,5,3,20,28,7
2.522643617805543,2.432302863753427,8.33203125,80,missing tooth,4,2023,5,3,13,7,23
2.520672543879377,2.427046682796349,8.33203125,80,chipped tooth,2,2023,5,2,16,4,31
2.5185372139413964,2.43033179578767,8.33203125,0,surface defect,5,2023,5,2,14,35,15
2.520179775418428,2.4456075758824656,25.0,0,surface defect,5,2023,5,2,14,29,41
2.5177159332371777,2.4326313750935267,8.33203125,80,missing tooth,4,2023,5,3,13,7,26
2.5139380422920845,2.437394789925737,40.0,0,No fault,0,2023,5,3,22,10,3
2.5154163473869464,2.429674773160919,25.0,0,eccentricity,3,2023,5,3,20,20,3
2.521658080825983,2.4263896602408006,8.33203125,0,surface defect,5,2023,5,2,14,35,14
2.5287210965749054,2.431317329754514,40.0,80,missing tooth,4,2023,5,3,12,26,52
2.5218223369869546,2.4306603071063884,8.33203125,80,missing tooth,4,2023,5,3,13,7,26
2.522315105475361,2.43033179578767,8.33203125,0,No fault,0,2023,5,3,21,47,31
2.5144308106488173,2.422119013976508,40.0,0,eccentricity,3,2023,5,3,20,28,7
2.5211653123485616,2.428689239247504,8.33203125,0,Root crack,1,2023,5,3,14,41,31
2.5208368000348567,2.427375194079461,8.33203125,80,Root crack,1,2023,5,3,14,41,53
2.529706633790908,2.421790502750292,40.0,0,No fault,0,2023,5,3,22,10,0
2.5228078739720075,2.4272109384374603,8.33203125,80,Root crack,1,2023,5,3,14,41,53
2.5196870069657136,2.424911359542847,8.33203125,80,surface defect,5,2023,5,2,14,31,46
2.520672543879377,2.4300032844725137,8.33203125,0,missing tooth,4,2023,5,3,13,6,38
2.515252091261641,2.428689239247504,40.0,0,missing tooth,4,2023,5,3,12,28,21
2.521001056191252,2.432959886437191,8.33203125,80,missing tooth,4,2023,5,3,13,7,24
2.5185372139413964,2.425568382066378,25.0,0,missing tooth,4,2023,5,3,12,33,35
2.499812019556057,2.4045436683550423,40.0,80,surface defect,5,2023,5,7,17,10,11
2.522315105475361,2.415877301285613,40.0,0,chipped tooth,2,2023,5,2,15,55,4
2.5203440315711623,2.4314815854187715,8.33203125,80,No fault,0,2023,5,3,21,49,8
2.5190299823749016,2.428032216656363,8.33203125,80,missing tooth,4,2023,5,3,13,7,27
2.523629154818065,2.427867961010803,25.0,80,Root crack,1,2023,5,3,14,55,53
2.49209198671896,2.4416654383444305,25.0,80,surface defect,5,2023,5,2,14,30,29
2.5175516770990765,2.432959886437191,8.33203125,80,chipped tooth,2,2023,5,2,16,4,31
2.5178801893761924,2.426718171516796,8.33203125,0,chipped tooth,2,2023,5,2,15,53,7
2.5208368000348567,2.4306603071063884,8.33203125,0,eccentricity,3,2023,5,3,20,31,40
2.518865726229485,2.4395301140596204,40.0,0,Root crack,1,2023,5,3,15,1,4
2.5208368000348567,2.4272109384374603,40.0,0,eccentricity,3,2023,5,3,20,28,9
2.526585766053502,2.436409255760976,40.0,80,No fault,0,2023,5,3,22,6,5
